doc_name,status,duration,sync_status,error,path
DOCUMENTS DIPLOMATIQUES - Affaires_du_Maroc,CRITICAL_ERROR,4248.87,N/A,name 'USE_LANGEXTRACT' is not defined,/content/work/ALLPDF/DOCUMENTS DIPLOMATIQUES - Affaires_du_Maroc.pdf
ÉCRIRE L’HISTOIRE DE SON TEMPS - EUROPE ET MONDE ARABE),CRITICAL_ERROR,2368.43,N/A,name 'USE_LANGEXTRACT' is not defined,/content/work/ALLPDF/ÉCRIRE L’HISTOIRE DE SON TEMPS - EUROPE ET MONDE ARABE).pdf
histoire diplomatique du maroc التاريخ الدبلوماسي للمغرب من أقدم العصور الى العهد العلوي 2,CRITICAL_ERROR,4382.79,N/A,name 'USE_LANGEXTRACT' is not defined,/content/work/ALLPDF/histoire diplomatique du maroc التاريخ الدبلوماسي للمغرب من أقدم العصور الى العهد العلوي 2.pdf
